level;year;ibge_code;ibge_label;isced_level1;isced_level1_label_pt;isced_level1_label_en;isced_level2;isced_level2_label_pt;isced_level2_label_en;isced_level3;isced_level3_label_pt;isced_level3_label_en;comments
higher_education;2000;63;Pedagogia - Graduação;1;EDUCAÇÃO;Education;14;FORMAÇÃO DE PROFESSORES E CIÊNCIAS DA EDUCAÇÃO;Teacher training and education science;140;FORMAÇÃO DO PROFESSOR E CIÊNCIAS DA EDUCAÇÃO (CURSO GERAIS);Teaching and training (general);
higher_education;1980;77;educação - superior;1;EDUCAÇÃO;Education;14;FORMAÇÃO DE PROFESSORES E CIÊNCIAS DA EDUCAÇÃO;Teacher training and education science;140;FORMAÇÃO DO PROFESSOR E CIÊNCIAS DA EDUCAÇÃO (CURSO GERAIS);Teaching and training (general);
higher_education;1991;77;Pedagogia;1;EDUCAÇÃO;Education;14;FORMAÇÃO DE PROFESSORES E CIÊNCIAS DA EDUCAÇÃO;Teacher training and education science;140;FORMAÇÃO DO PROFESSOR E CIÊNCIAS DA EDUCAÇÃO (CURSO GERAIS);Teaching and training (general);
higher_education;2000;78;Pedagogia - Mestrado ou Doutorado;1;EDUCAÇÃO;Education;14;FORMAÇÃO DE PROFESSORES E CIÊNCIAS DA EDUCAÇÃO;Teacher training and education science;140;FORMAÇÃO DO PROFESSOR E CIÊNCIAS DA EDUCAÇÃO (CURSO GERAIS);Teaching and training (general);
higher_education;1980;94;educação - mestrado;1;EDUCAÇÃO;Education;14;FORMAÇÃO DE PROFESSORES E CIÊNCIAS DA EDUCAÇÃO;Teacher training and education science;140;FORMAÇÃO DO PROFESSOR E CIÊNCIAS DA EDUCAÇÃO (CURSO GERAIS);Teaching and training (general);
higher_education;1991;94;Mestrado ou Doutorado - Pedagogia;1;EDUCAÇÃO;Education;14;FORMAÇÃO DE PROFESSORES E CIÊNCIAS DA EDUCAÇÃO;Teacher training and education science;140;FORMAÇÃO DO PROFESSOR E CIÊNCIAS DA EDUCAÇÃO (CURSO GERAIS);Teaching and training (general);
higher_education;2010;140;FORMAÇÃO DO PROFESSOR E CIÊNCIAS DA EDUCAÇÃO (CURSO GERAIS);1;EDUCAÇÃO;Education;14;FORMAÇÃO DE PROFESSORES E CIÊNCIAS DA EDUCAÇÃO;Teacher training and education science;140;FORMAÇÃO DO PROFESSOR E CIÊNCIAS DA EDUCAÇÃO (CURSO GERAIS);Teaching and training (general);
higher_education;2010;142;CIÊNCIAS DA EDUCAÇÃO;1;EDUCAÇÃO;Education;14;FORMAÇÃO DE PROFESSORES E CIÊNCIAS DA EDUCAÇÃO;Teacher training and education science;140;FORMAÇÃO DO PROFESSOR E CIÊNCIAS DA EDUCAÇÃO (CURSO GERAIS);Teaching and training (general);
higher_education;2010;143;FORMAÇÃO DE PROFESSORES DE EDUCAÇÃO INFANTIL;1;EDUCAÇÃO;Education;14;FORMAÇÃO DE PROFESSORES E CIÊNCIAS DA EDUCAÇÃO;Teacher training and education science;140;FORMAÇÃO DO PROFESSOR E CIÊNCIAS DA EDUCAÇÃO (CURSO GERAIS);Teaching and training (general);
higher_education;2010;144;FORMAÇÃO DE PROFESSORES DA EDUCAÇÃO BÁSICA;1;EDUCAÇÃO;Education;14;FORMAÇÃO DE PROFESSORES E CIÊNCIAS DA EDUCAÇÃO;Teacher training and education science;140;FORMAÇÃO DO PROFESSOR E CIÊNCIAS DA EDUCAÇÃO (CURSO GERAIS);Teaching and training (general);
