level;year;ibge_code;ibge_label;isced_level1;isced_level1_label_pt;isced_level1_label_en;isced_level2;isced_level2_label_pt;isced_level2_label_en;isced_level3;isced_level3_label_pt;isced_level3_label_en;comments
primary_and_secondary_education;1960;0;Sem Curso Completo;;Humanities and Arts;;;;;;;;
primary_and_secondary_education;1960;10;Primário/Elementar;;Humanities and Arts;;;;;;;;
primary_and_secondary_education;1960;11;Comercial - Elementar;;Humanities and Arts;;;;;;;;
primary_and_secondary_education;1960;13;Saúde e Serviços Sanitários - Elementar;;Science;;;;;;;;
primary_and_secondary_education;1960;14;Militar Elementar - Elementar;;Humanities and Arts;;;;;;;;
primary_and_secondary_education;1960;15;Agricultura e Pecuária - Elementar;;Humanities and Arts;;;;;;;;
primary_and_secondary_education;1960;16;Emendativo - Elementar;;Health and welfare;;;;;;;;
primary_and_secondary_education;1960;17;Industrial - Elementar;;Health and welfare;;;;;;;;
primary_and_secondary_education;1960;19;Outros - Elementar;;Health and welfare;;;;;;;;
primary_and_secondary_education;1960;20;Ginasial;;Agriculture;;;;;;;;
primary_and_secondary_education;1960;21;Comercial - 1º Grau / Médio 1º Ciclo;;Engineering, manufacturing and construction;;;;;;;;
primary_and_secondary_education;1960;22;Normal/Pedagógico - 1º Grau / Médio 1º Ciclo;;Engineering, manufacturing and construction;;;;;;;;
primary_and_secondary_education;1960;24;Militar - 1º Grau / Médio 1º Ciclo;;Science;;;;;;;;
primary_and_secondary_education;1960;25;Agricultura e Pecuária - 1º Grau / Médio 1º Ciclo;;Social sciences, business and law;;;;;;;;
primary_and_secondary_education;1960;26;Emendativo - 1º Grau / Médio 1º Ciclo;;Agriculture;;;;;;;;
primary_and_secondary_education;1960;27;Industrial - 1º Grau / Médio 1º Ciclo;;Social sciences, business and law;;;;;;;;
primary_and_secondary_education;1960;29;Outros - 1º Grau / Médio 1º Ciclo;;Science;;;;;;;;
primary_and_secondary_education;1960;33;Serviços Sanitários - 1º Grau / Médio 1º Ciclo;;Not known or unspecified;;;;;;;;
primary_and_secondary_education;1960;34;Militar Médio - 1º Grau / Médio 1º Ciclo;;Health and welfare;;;;;;;;
primary_and_secondary_education;1960;36;Educação Física - 1º Grau / Médio 1º Ciclo;;Services;;;;;;;;
primary_and_secondary_education;1960;38;Eclesiástico - 1º Grau / Médio 1º Ciclo;;Education;;;;;;;;
primary_and_secondary_education;1960;39;Outros Níveis Médios (1º Grau / Médio 1º Ciclo);;Humanities and Arts;;;;;;;;
primary_and_secondary_education;1960;40;Colegial/Científico;;Not known or unspecified;;;;;;;;
primary_and_secondary_education;1960;41;Comercial - 2º Grau;;Social sciences, business and law;;;;;;;;
primary_and_secondary_education;1960;42;Normal/Pedagógico - 2º Grau;;Agriculture;;;;;;;;
primary_and_secondary_education;1960;44;Militar - 2º Grau;;Engineering, manufacturing and construction;;;;;;;;
primary_and_secondary_education;1960;45;Agricultura e Pecuária - 2º Grau;;Humanities and Arts;;;;;;;;
